player_uid,role,sample_size_text,data_completeness_score,match_confidence,positive_driver_1,positive_driver_2,negative_driver_1,negative_driver_2,warning_text
h_804253,hitters,58 plate events / 6 BBE,27.58620689655173,0.95,Impact score 93.8,P90 EV wood-adj 103,Whiff rate 12.5%,Chase rate 27.6%,One-season-only warning: no prior season trend context available.
h_1000142987,hitters,27 plate events / 5 BBE,37.03703703703704,0.95,Impact score 96.6,P90 EV wood-adj 105.1,Whiff rate 18.8%,Chase rate 30.8%,Data completeness warning: review missing critical fields before trusting the board score.
h_830892,hitters,51 plate events / 11 BBE,39.21568627450981,0.95,Impact score 90.4,P90 EV wood-adj 102.1,Whiff rate 15.4%,Chase rate 34.5%,Data completeness warning: review missing critical fields before trusting the board score.
h_1000136497,hitters,52 plate events / 9 BBE,30.769230769230774,0.95,Impact score 98,P90 EV wood-adj 105.6,Whiff rate 19.2%,Chase rate 29%,One-season-only warning: no prior season trend context available.
h_703680,hitters,60 plate events / 9 BBE,25,0.95,Impact score 98.9,P90 EV wood-adj 107,Whiff rate 25%,Chase rate 13%,One-season-only warning: no prior season trend context available.
h_1000066717,hitters,34 plate events / 9 BBE,32.35294117647058,0.95,Impact score 89.3,P90 EV wood-adj 102.8,Whiff rate 11.8%,Chase rate 23.5%,One-season-only warning: no prior season trend context available.
h_1000220630,hitters,38 plate events / 6 BBE,18.421052631578945,0.95,Impact score 93.1,P90 EV wood-adj 102.7,Whiff rate 21.4%,Chase rate 13%,Data completeness warning: review missing critical fields before trusting the board score.
h_1000102535,hitters,57 plate events / 8 BBE,26.31578947368422,0.95,Impact score 99,P90 EV wood-adj 108.2,Whiff rate 21.7%,Chase rate 24.1%,One-season-only warning: no prior season trend context available.
h_805022,hitters,64 plate events / 12 BBE,28.125,0.95,Impact score 92.5,P90 EV wood-adj 103.7,Whiff rate 19.2%,Chase rate 21.6%,Data completeness warning: review missing critical fields before trusting the board score.
h_828657,hitters,41 plate events / 6 BBE,24.390243902439025,0.95,Impact score 97.3,P90 EV wood-adj 105.4,Whiff rate 22.2%,Chase rate 20.8%,Data completeness warning: review missing critical fields before trusting the board score.
h_10050200,hitters,57 plate events / 9 BBE,21.05263157894737,0.95,Impact score 92.7,P90 EV wood-adj 102.6,Whiff rate 17.4%,Chase rate 17.9%,One-season-only warning: no prior season trend context available.
h_831193,hitters,49 plate events / 6 BBE,24.48979591836735,0.95,Impact score 99,P90 EV wood-adj 109.1,Whiff rate 25%,Chase rate 20%,Data completeness warning: review missing critical fields before trusting the board score.
h_804569,hitters,40 plate events / 9 BBE,40,0.95,Impact score 96.6,P90 EV wood-adj 104.9,Whiff rate 20%,Chase rate 31.8%,Data completeness warning: review missing critical fields before trusting the board score.
h_806033,hitters,44 plate events / 9 BBE,27.272727272727266,0.95,Impact score 99,P90 EV wood-adj 106.8,Whiff rate 25%,Chase rate 21.7%,Data completeness warning: review missing critical fields before trusting the board score.
h_1000115104,hitters,27 plate events / 9 BBE,48.14814814814815,0.95,Impact score 92,P90 EV wood-adj 103.3,Whiff rate 11.8%,Chase rate 46.2%,Data completeness warning: review missing critical fields before trusting the board score.
h_807408,hitters,58 plate events / 12 BBE,22.41379310344827,0.95,Impact score 84.7,P90 EV wood-adj 100.5,Whiff rate 11.8%,Chase rate 9.4%,Data completeness warning: review missing critical fields before trusting the board score.
h_826003,hitters,59 plate events / 14 BBE,30.508474576271183,0.95,Impact score 96.4,P90 EV wood-adj 104.6,Whiff rate 24.1%,Chase rate 22.2%,Data completeness warning: review missing critical fields before trusting the board score.
h_813400,hitters,70 plate events / 18 BBE,34.28571428571429,0.95,Impact score 88.9,P90 EV wood-adj 102.2,Whiff rate 16.7%,Chase rate 22.2%,One-season-only warning: no prior season trend context available.
h_1000253292,hitters,25 plate events / 6 BBE,43.99999999999999,0.95,Impact score 92.8,P90 EV wood-adj 102.6,Whiff rate 14.3%,Chase rate 46.7%,Data completeness warning: review missing critical fields before trusting the board score.
h_1000077151,hitters,36 plate events / 7 BBE,33.33333333333334,0.95,Impact score 90.3,P90 EV wood-adj 102,Whiff rate 20%,Chase rate 17.6%,Data completeness warning: review missing critical fields before trusting the board score.
h_809995,hitters,44 plate events / 11 BBE,29.545454545454547,0.95,Impact score 82,P90 EV wood-adj 100.1,Whiff rate 11.1%,Chase rate 20%,Data completeness warning: review missing critical fields before trusting the board score.
h_823169,hitters,44 plate events / 9 BBE,29.545454545454547,0.95,Impact score 94.8,P90 EV wood-adj 103.2,Whiff rate 15.8%,Chase rate 33.3%,Data completeness warning: review missing critical fields before trusting the board score.
h_832529,hitters,37 plate events / 3 BBE,16.21621621621621,0.95,Impact score 98.6,P90 EV wood-adj 106.3,Whiff rate 26.7%,Chase rate 0%,Data completeness warning: review missing critical fields before trusting the board score.
h_809051,hitters,39 plate events / 9 BBE,38.46153846153846,0.95,Impact score 89.7,P90 EV wood-adj 101.7,Whiff rate 18.2%,Chase rate 30%,Data completeness warning: review missing critical fields before trusting the board score.
h_702597,hitters,50 plate events / 8 BBE,26,0.95,Impact score 96.1,P90 EV wood-adj 104.6,Whiff rate 21.1%,Chase rate 25%,Data completeness warning: review missing critical fields before trusting the board score.
h_808769,hitters,27 plate events / 4 BBE,29.629629629629633,0.95,Impact score 95.8,P90 EV wood-adj 103.8,Whiff rate 23.1%,Chase rate 23.1%,Data completeness warning: review missing critical fields before trusting the board score.
h_815140,hitters,40 plate events / 6 BBE,25,0.95,Impact score 85.5,P90 EV wood-adj 101.5,Whiff rate 17.6%,Chase rate 16.7%,Data completeness warning: review missing critical fields before trusting the board score.
h_809633,hitters,54 plate events / 11 BBE,29.629629629629633,0.95,Impact score 85.2,P90 EV wood-adj 100.6,Whiff rate 9.1%,Chase rate 22.2%,One-season-only warning: no prior season trend context available.
h_809626,hitters,38 plate events / 4 BBE,26.31578947368422,0.95,Impact score 98.6,P90 EV wood-adj 106.3,Whiff rate 28.6%,Chase rate 4.8%,One-season-only warning: no prior season trend context available.
h_1000463282,hitters,58 plate events / 9 BBE,25.86206896551724,0.95,Impact score 97.2,P90 EV wood-adj 105.4,Whiff rate 23.8%,Chase rate 21.4%,One-season-only warning: no prior season trend context available.
h_829643,hitters,25 plate events / 11 BBE,56,0.95,Impact score 88.9,P90 EV wood-adj 101.8,Whiff rate 6.2%,Chase rate 50%,One-season-only warning: no prior season trend context available.
h_805225,hitters,43 plate events / 8 BBE,32.55813953488372,0.95,Impact score 84.5,P90 EV wood-adj 102,Whiff rate 11.1%,Chase rate 23.1%,Data completeness warning: review missing critical fields before trusting the board score.
h_806476,hitters,45 plate events / 8 BBE,24.444444444444443,0.95,Impact score 98.1,P90 EV wood-adj 105.7,Whiff rate 27.8%,Chase rate 18.2%,Data completeness warning: review missing critical fields before trusting the board score.
h_822681,hitters,25 plate events / 4 BBE,40,0.95,Impact score 95.2,P90 EV wood-adj 103.5,Whiff rate 23.1%,Chase rate 33.3%,Data completeness warning: review missing critical fields before trusting the board score.
h_703509,hitters,56 plate events / 15 BBE,33.92857142857143,0.95,Impact score 81.4,P90 EV wood-adj 100.2,Whiff rate 13%,Chase rate 21.2%,Data completeness warning: review missing critical fields before trusting the board score.
h_823525,hitters,28 plate events / 4 BBE,25,0.95,Impact score 98.2,P90 EV wood-adj 105.8,Whiff rate 30%,Chase rate 15.4%,Data completeness warning: review missing critical fields before trusting the board score.
h_10312841,hitters,27 plate events / 7 BBE,33.33333333333334,0.95,Impact score 83.4,P90 EV wood-adj 106.2,Whiff rate 18.2%,Chase rate 21.4%,Data completeness warning: review missing critical fields before trusting the board score.
h_815491,hitters,43 plate events / 10 BBE,30.232558139534888,0.95,Impact score 81.1,P90 EV wood-adj 99.7,Whiff rate 15%,Chase rate 15.4%,One-season-only warning: no prior season trend context available.
h_1000077203,hitters,32 plate events / 7 BBE,31.25,0.95,Impact score 93,P90 EV wood-adj 103.1,Whiff rate 25%,Chase rate 21.4%,Data completeness warning: review missing critical fields before trusting the board score.
h_1000334193,hitters,35 plate events / 11 BBE,45.714285714285715,0.95,Impact score 90.7,P90 EV wood-adj 102.5,Whiff rate 18.2%,Chase rate 33.3%,One-season-only warning: no prior season trend context available.
h_1000230177,hitters,66 plate events / 14 BBE,30.303030303030297,0.95,Impact score 88,P90 EV wood-adj 101.4,Whiff rate 20%,Chase rate 22.2%,One-season-only warning: no prior season trend context available.
h_823743,hitters,45 plate events / 6 BBE,33.33333333333334,0.95,Impact score 90,P90 EV wood-adj 101.9,Whiff rate 23.8%,Chase rate 20%,Data completeness warning: review missing critical fields before trusting the board score.
h_809742,hitters,29 plate events / 6 BBE,34.48275862068965,0.95,Impact score 86.2,P90 EV wood-adj 102.3,Whiff rate 21.4%,Chase rate 16.7%,Data completeness warning: review missing critical fields before trusting the board score.
h_806323,hitters,35 plate events / 9 BBE,40,0.95,Impact score 96.9,P90 EV wood-adj 105.9,Whiff rate 28.6%,Chase rate 26.7%,Data completeness warning: review missing critical fields before trusting the board score.
h_1000115649,hitters,39 plate events / 8 BBE,33.33333333333334,0.95,Impact score 77.4,P90 EV wood-adj 100.9,Whiff rate 6.2%,Chase rate 15.8%,Data completeness warning: review missing critical fields before trusting the board score.
h_825130,hitters,61 plate events / 13 BBE,24.59016393442623,0.95,Impact score 83.1,P90 EV wood-adj 100.9,Whiff rate 20%,Chase rate 18.4%,Data completeness warning: review missing critical fields before trusting the board score.
h_10148248,hitters,48 plate events / 9 BBE,25,0.95,Impact score 98.8,P90 EV wood-adj 106.6,Whiff rate 31.6%,Chase rate 17.9%,One-season-only warning: no prior season trend context available.
h_807355,hitters,62 plate events / 16 BBE,33.87096774193549,0.95,Impact score 96.7,P90 EV wood-adj 105.3,Whiff rate 25.7%,Chase rate 34.4%,Data completeness warning: review missing critical fields before trusting the board score.
h_805538,hitters,51 plate events / 12 BBE,35.294117647058826,0.95,Impact score 94.5,P90 EV wood-adj 103.3,Whiff rate 22.2%,Chase rate 38.7%,Data completeness warning: review missing critical fields before trusting the board score.
h_1000362609,hitters,52 plate events / 8 BBE,26.923076923076934,0.95,Impact score 88.1,P90 EV wood-adj 101.3,Whiff rate 20%,Chase rate 20.7%,One-season-only warning: no prior season trend context available.
h_1000081438,hitters,42 plate events / 9 BBE,30.95238095238095,0.95,Impact score 85.5,P90 EV wood-adj 100.6,Whiff rate 17.6%,Chase rate 22.7%,One-season-only warning: no prior season trend context available.
h_1000138088,hitters,38 plate events / 9 BBE,39.473684210526315,0.95,Impact score 90.9,P90 EV wood-adj 102.1,Whiff rate 20%,Chase rate 33.3%,Data completeness warning: review missing critical fields before trusting the board score.
h_1000392650,hitters,43 plate events / 7 BBE,23.25581395348837,0.95,Impact score 96,P90 EV wood-adj 103.9,Whiff rate 33.3%,Chase rate 7.7%,Data completeness warning: review missing critical fields before trusting the board score.
h_1000066066,hitters,30 plate events / 5 BBE,26.66666666666667,0.95,Impact score 80.7,P90 EV wood-adj 104.6,Whiff rate 10%,Chase rate 25%,Data completeness warning: review missing critical fields before trusting the board score.
h_830618,hitters,43 plate events / 9 BBE,25.581395348837205,0.95,Impact score 80.7,P90 EV wood-adj 101.2,Whiff rate 14.3%,Chase rate 9.5%,One-season-only warning: no prior season trend context available.
h_809243,hitters,46 plate events / 14 BBE,36.95652173913043,0.95,Impact score 90.8,P90 EV wood-adj 102.8,Whiff rate 24%,Chase rate 34.8%,Data completeness warning: review missing critical fields before trusting the board score.
h_813957,hitters,51 plate events / 12 BBE,41.17647058823529,0.95,Impact score 90.8,P90 EV wood-adj 102.3,Whiff rate 20.7%,Chase rate 51.9%,Data completeness warning: review missing critical fields before trusting the board score.
h_702479,hitters,29 plate events / 6 BBE,31.034482758620683,0.95,Impact score 84.5,P90 EV wood-adj 100.4,Whiff rate 6.2%,Chase rate 52.9%,Data completeness warning: review missing critical fields before trusting the board score.
h_807266,hitters,44 plate events / 9 BBE,34.09090909090909,0.95,Impact score 83.5,P90 EV wood-adj 100.4,Whiff rate 21.1%,Chase rate 23.8%,Data completeness warning: review missing critical fields before trusting the board score.
h_10074817,hitters,35 plate events / 5 BBE,22.857142857142847,0.95,Impact score 88.3,P90 EV wood-adj 101.3,Whiff rate 21.4%,Chase rate 17.6%,One-season-only warning: no prior season trend context available.
h_1000222230,hitters,31 plate events / 9 BBE,41.93548387096774,0.95,Impact score 69,P90 EV wood-adj 106.1,Whiff rate 7.1%,Chase rate 12.5%,Data completeness warning: review missing critical fields before trusting the board score.
h_10062829,hitters,52 plate events / 16 BBE,42.307692307692314,0.95,Impact score 82,P90 EV wood-adj 102.3,Whiff rate 3.7%,Chase rate 33.3%,Data completeness warning: review missing critical fields before trusting the board score.
h_1000282285,hitters,51 plate events / 10 BBE,29.411764705882348,0.95,Impact score 93.2,P90 EV wood-adj 103.2,Whiff rate 28.6%,Chase rate 20%,One-season-only warning: no prior season trend context available.
h_829592,hitters,26 plate events / 7 BBE,30.769230769230774,0.95,Impact score 87.4,P90 EV wood-adj 101,Whiff rate 23.1%,Chase rate 26.7%,Data completeness warning: review missing critical fields before trusting the board score.
h_809730,hitters,27 plate events / 4 BBE,25.925925925925924,0.95,Impact score 96.9,P90 EV wood-adj 104.4,Whiff rate 25%,Chase rate 42.1%,Data completeness warning: review missing critical fields before trusting the board score.
h_815428,hitters,50 plate events / 6 BBE,22,0.95,Impact score 95.7,P90 EV wood-adj 104.9,Whiff rate 28.6%,Chase rate 23.5%,Data completeness warning: review missing critical fields before trusting the board score.
h_804889,hitters,44 plate events / 8 BBE,29.545454545454547,0.95,Impact score 88.8,P90 EV wood-adj 101.5,Whiff rate 20%,Chase rate 29.2%,Data completeness warning: review missing critical fields before trusting the board score.
h_808781,hitters,61 plate events / 13 BBE,34.42622950819673,0.95,Impact score 69.3,P90 EV wood-adj 106.5,Whiff rate 12%,Chase rate 10.7%,Data completeness warning: review missing critical fields before trusting the board score.
h_1000183398,hitters,32 plate events / 4 BBE,34.375,0.95,Impact score 69.6,P90 EV wood-adj 107.5,Whiff rate 0%,Chase rate 17.6%,Data completeness warning: review missing critical fields before trusting the board score.
h_823144,hitters,78 plate events / 9 BBE,21.794871794871796,0.95,Impact score 94,P90 EV wood-adj 103,Whiff rate 30.8%,Chase rate 7.1%,Data completeness warning: review missing critical fields before trusting the board score.
h_695557,hitters,42 plate events / 9 BBE,28.57142857142857,0.95,Impact score 99,P90 EV wood-adj 108.9,Whiff rate 35%,Chase rate 22.7%,One-season-only warning: no prior season trend context available.
h_1000340843,hitters,62 plate events / 12 BBE,41.93548387096774,0.95,Impact score 91.6,P90 EV wood-adj 102.4,Whiff rate 22.2%,Chase rate 40.6%,One-season-only warning: no prior season trend context available.
h_828714,hitters,58 plate events / 9 BBE,34.48275862068965,0.95,Impact score 69.3,P90 EV wood-adj 107,Whiff rate 10.7%,Chase rate 17.2%,Data completeness warning: review missing critical fields before trusting the board score.
h_1000412438,hitters,35 plate events / 7 BBE,31.42857142857143,0.95,Impact score 80,P90 EV wood-adj 102.2,Whiff rate 21.4%,Chase rate 16.7%,Data completeness warning: review missing critical fields before trusting the board score.
h_10087314,hitters,31 plate events / 4 BBE,25.80645161290323,0.95,Impact score 93,P90 EV wood-adj 102.7,Whiff rate 28.6%,Chase rate 20%,Data completeness warning: review missing critical fields before trusting the board score.
h_10308013,hitters,37 plate events / 6 BBE,21.621621621621628,0.95,Impact score 96.5,P90 EV wood-adj 105.1,Whiff rate 28.6%,Chase rate 26.3%,Data completeness warning: review missing critical fields before trusting the board score.
h_822899,hitters,27 plate events / 6 BBE,37.03703703703704,0.95,Impact score 81.8,P90 EV wood-adj 100.6,Whiff rate 8.3%,Chase rate 35.7%,Data completeness warning: review missing critical fields before trusting the board score.
h_10324378,hitters,42 plate events / 9 BBE,40.476190476190474,0.95,Impact score 94.9,P90 EV wood-adj 103.5,Whiff rate 28.6%,Chase rate 28.6%,Data completeness warning: review missing critical fields before trusting the board score.
h_1000250817,hitters,39 plate events / 8 BBE,38.46153846153846,0.95,Impact score 82.6,P90 EV wood-adj 101,Whiff rate 9.5%,Chase rate 35%,One-season-only warning: no prior season trend context available.
h_830362,hitters,44 plate events / 5 BBE,27.272727272727266,0.95,Impact score 97.4,P90 EV wood-adj 104.9,Whiff rate 33.3%,Chase rate 23.8%,Data completeness warning: review missing critical fields before trusting the board score.
h_815475,hitters,39 plate events / 5 BBE,25.641025641025635,0.95,Impact score 69.6,P90 EV wood-adj 107.3,Whiff rate 0%,Chase rate 5.6%,Data completeness warning: review missing critical fields before trusting the board score.
h_831335,hitters,45 plate events / 5 BBE,22.222222222222214,0.95,Impact score 94.9,P90 EV wood-adj 105.9,Whiff rate 33.3%,Chase rate 12%,Data completeness warning: review missing critical fields before trusting the board score.
h_831029,hitters,29 plate events / 6 BBE,34.48275862068965,0.95,Impact score 82.8,P90 EV wood-adj 101.7,Whiff rate 16.7%,Chase rate 27.8%,Data completeness warning: review missing critical fields before trusting the board score.
h_830359,hitters,56 plate events / 8 BBE,21.42857142857143,0.95,Impact score 80.6,P90 EV wood-adj 102.5,Whiff rate 16.7%,Chase rate 14.3%,Data completeness warning: review missing critical fields before trusting the board score.
