player_uid,role,sample_size_text,data_completeness_score,match_confidence,positive_driver_1,positive_driver_2,negative_driver_1,negative_driver_2,warning_text
h_824567,hitters,43 plate events / 32 BBE,37.57225433526011,0.95,Impact score 31.8,P90 EV wood-adj 97.3,Whiff rate 12.8%,Chase rate 35.9%,Data completeness warning: review missing critical fields before trusting the board score.
h_804746,hitters,3 plate events / 2 BBE,25,0.95,Impact score 58.3,P90 EV wood-adj 99.8,Whiff rate 25%,Chase rate 0%,One-season-only warning: no prior season trend context available.
h_838742,hitters,57 plate events / 38 BBE,29.081632653061234,0.95,Impact score 32.8,P90 EV wood-adj 98.4,Whiff rate 21.8%,Chase rate 25%,Data completeness warning: review missing critical fields before trusting the board score.
h_1000182451,hitters,5 plate events / 5 BBE,58.33333333333333,0.95,Impact score 41.3,P90 EV wood-adj 104.6,Whiff rate 11.1%,Chase rate 50%,One-season-only warning: no prior season trend context available.
h_828162,hitters,3 plate events / 2 BBE,22.222222222222214,0.95,Impact score 43.8,P90 EV wood-adj 97.1,Whiff rate 0%,Chase rate 11.1%,One-season-only warning: no prior season trend context available.
h_813527,hitters,1 plate events / 1 BBE,50,0.95,Impact score 47.7,P90 EV wood-adj 94.5,Whiff rate 0%,Chase rate 0%,One-season-only warning: no prior season trend context available.
h_828130,hitters,4 plate events / 3 BBE,35.71428571428571,0.95,Impact score 52.9,P90 EV wood-adj 98.2,Whiff rate 22.2%,Chase rate 33.3%,One-season-only warning: no prior season trend context available.
h_10078856,hitters,1 plate events / 1 BBE,50,0.95,Impact score 46.7,P90 EV wood-adj 94.3,Whiff rate 0%,Chase rate 0%,One-season-only warning: no prior season trend context available.
h_806039,hitters,3 plate events / 3 BBE,41.666666666666664,0.95,Impact score 57.2,P90 EV wood-adj 103,Whiff rate 25%,Chase rate 25%,One-season-only warning: no prior season trend context available.
h_831539,hitters,4 plate events / 2 BBE,62.5,0.95,Impact score 58.7,P90 EV wood-adj 102.9,Whiff rate 16.7%,Chase rate 50%,One-season-only warning: no prior season trend context available.
h_10277040,hitters,5 plate events / 1 BBE,25,0.95,Impact score 29.4,P90 EV wood-adj NA,Whiff rate 0%,Chase rate 0%,One-season-only warning: no prior season trend context available.
h_703551,hitters,27 plate events / 14 BBE,23.91304347826086,0.95,Impact score 33,P90 EV wood-adj 95.9,Whiff rate 31.4%,Chase rate 17.5%,Data completeness warning: review missing critical fields before trusting the board score.
h_835059,hitters,3 plate events / 1 BBE,50,0.95,Impact score 52.5,P90 EV wood-adj 97,Whiff rate 16.7%,Chase rate 20%,One-season-only warning: no prior season trend context available.
h_826306,hitters,3 plate events / 1 BBE,25,0.95,Impact score 65,P90 EV wood-adj 103.5,Whiff rate 33.3%,Chase rate 0%,One-season-only warning: no prior season trend context available.
h_695674,hitters,40 plate events / 21 BBE,25.342465753424662,0.95,Impact score 27.6,P90 EV wood-adj 97.3,Whiff rate 25%,Chase rate 18.5%,Data completeness warning: review missing critical fields before trusting the board score.
h_1000119183,hitters,4 plate events / 3 BBE,50,0.95,Impact score 45.3,P90 EV wood-adj 97.4,Whiff rate 30%,Chase rate 20%,One-season-only warning: no prior season trend context available.
h_838762,hitters,4 plate events / 1 BBE,12.5,0.95,Impact score 33.3,P90 EV wood-adj 90.3,Whiff rate 0%,Chase rate 0%,One-season-only warning: no prior season trend context available.
h_827685,hitters,5 plate events / 3 BBE,30,0.95,Impact score 57.9,P90 EV wood-adj 104.6,Whiff rate 41.7%,Chase rate 36.4%,Data completeness warning: review missing critical fields before trusting the board score.
h_1000116120,hitters,4 plate events / 3 BBE,40,0.95,Impact score 34.6,P90 EV wood-adj 91.9,Whiff rate 0%,Chase rate 40%,One-season-only warning: no prior season trend context available.
h_702973,hitters,5 plate events / 2 BBE,18.75,0.95,Impact score 56.6,P90 EV wood-adj 100,Whiff rate 33.3%,Chase rate 27.3%,One-season-only warning: no prior season trend context available.
h_1000281926,hitters,1 plate events / 1 BBE,66.66666666666667,0.95,Impact score 35.9,P90 EV wood-adj 90.9,Whiff rate 0%,Chase rate 0%,One-season-only warning: no prior season trend context available.
h_815489,hitters,1 plate events / 1 BBE,33.33333333333334,0.95,Impact score 37.8,P90 EV wood-adj 91.9,Whiff rate 0%,Chase rate 0%,One-season-only warning: no prior season trend context available.
h_1000480577,hitters,4 plate events / 3 BBE,45.45454545454546,0.95,Impact score 42.5,P90 EV wood-adj 96.7,Whiff rate 14.3%,Chase rate 50%,One-season-only warning: no prior season trend context available.
h_838743,hitters,43 plate events / 26 BBE,26.506024096385545,0.95,Impact score 34.3,P90 EV wood-adj 98,Whiff rate 25.3%,Chase rate 39.6%,One-season-only warning: no prior season trend context available.
h_811294,hitters,4 plate events / 2 BBE,21.42857142857143,0.95,Impact score 64.8,P90 EV wood-adj 103.5,Whiff rate 50%,Chase rate 20%,One-season-only warning: no prior season trend context available.
h_813359,hitters,3 plate events / 2 BBE,37.5,0.95,Impact score 59.4,P90 EV wood-adj 101.2,Whiff rate 25%,Chase rate 40%,Data completeness warning: review missing critical fields before trusting the board score.
h_1000278564,hitters,4 plate events / 4 BBE,44.44444444444444,0.95,Impact score 5.8,P90 EV wood-adj 80.7,Whiff rate 0%,Chase rate 0%,One-season-only warning: no prior season trend context available.
h_1000361026,hitters,4 plate events / 3 BBE,30.769230769230774,0.95,Impact score 22,P90 EV wood-adj 93.8,Whiff rate 0%,Chase rate 22.2%,One-season-only warning: no prior season trend context available.
h_805714,hitters,43 plate events / 20 BBE,25.308641975308646,0.95,Impact score 35.9,P90 EV wood-adj 100.2,Whiff rate 34.7%,Chase rate 31.1%,Data completeness warning: review missing critical fields before trusting the board score.
h_1000125439,hitters,6 plate events / 3 BBE,15.789473684210535,0.95,Impact score 20.3,P90 EV wood-adj 90.6,Whiff rate 14.3%,Chase rate 22.2%,One-season-only warning: no prior season trend context available.
h_1000134813,hitters,4 plate events / 2 BBE,20,0.95,Impact score 58.3,P90 EV wood-adj 102.9,Whiff rate 40%,Chase rate 22.2%,One-season-only warning: no prior season trend context available.
h_1000301843,hitters,3 plate events / 2 BBE,50,0.95,Impact score 24.8,P90 EV wood-adj 97.7,Whiff rate 0%,Chase rate 14.3%,One-season-only warning: no prior season trend context available.
h_10054885,hitters,2 plate events / 1 BBE,28.57142857142857,0.95,Impact score 31.7,P90 EV wood-adj 89,Whiff rate 0%,Chase rate 0%,One-season-only warning: no prior season trend context available.
h_807287,hitters,4 plate events / 3 BBE,50,0.95,Impact score 23.8,P90 EV wood-adj 92.8,Whiff rate 0%,Chase rate 33.3%,One-season-only warning: no prior season trend context available.
h_814843,hitters,3 plate events / 2 BBE,31.25,0.95,Impact score 23.1,P90 EV wood-adj 91.4,Whiff rate 0%,Chase rate 10%,One-season-only warning: no prior season trend context available.
h_10281913,hitters,5 plate events / 3 BBE,31.578947368421055,0.95,Impact score 46.4,P90 EV wood-adj 99.7,Whiff rate 30%,Chase rate 50%,One-season-only warning: no prior season trend context available.
h_813298,hitters,1 plate events / 1 BBE,33.33333333333334,0.95,Impact score 54.7,P90 EV wood-adj 98,Whiff rate 33.3%,Chase rate 0%,One-season-only warning: no prior season trend context available.
h_814181,hitters,4 plate events / 3 BBE,33.33333333333334,0.95,Impact score 14.7,P90 EV wood-adj 90.4,Whiff rate 0%,Chase rate 22.2%,One-season-only warning: no prior season trend context available.
h_807408,hitters,3 plate events / 1 BBE,22.222222222222214,0.95,Impact score 25.7,P90 EV wood-adj 86.2,Whiff rate 0%,Chase rate 0%,One-season-only warning: no prior season trend context available.
h_1000222330,hitters,5 plate events / 5 BBE,53.333333333333336,0.95,Impact score 15.6,P90 EV wood-adj 87.6,Whiff rate 0%,Chase rate 50%,One-season-only warning: no prior season trend context available.
h_830145,hitters,3 plate events / 3 BBE,30,0.95,Impact score 27.9,P90 EV wood-adj 93.5,Whiff rate 25%,Chase rate 0%,One-season-only warning: no prior season trend context available.
h_822518,hitters,3 plate events / 0 BBE,0,0.95,Impact score 29.4,P90 EV wood-adj NA,Whiff rate 0%,Chase rate 0%,One-season-only warning: no prior season trend context available.
h_836042,hitters,4 plate events / 1 BBE,23.80952380952381,0.95,Impact score 57.4,P90 EV wood-adj 99.4,Whiff rate 33.3%,Chase rate 28.6%,One-season-only warning: no prior season trend context available.
h_10264381,hitters,3 plate events / 3 BBE,28.57142857142857,0.95,Impact score 17.9,P90 EV wood-adj 92.2,Whiff rate 0%,Chase rate 20%,One-season-only warning: no prior season trend context available.
h_831480,hitters,6 plate events / 4 BBE,30.434782608695656,0.95,Impact score 6.7,P90 EV wood-adj 83.5,Whiff rate 20%,Chase rate 23.1%,Data completeness warning: review missing critical fields before trusting the board score.
h_823332,hitters,5 plate events / 2 BBE,26.31578947368422,0.95,Impact score 28.3,P90 EV wood-adj 96.9,Whiff rate 30%,Chase rate 18.2%,One-season-only warning: no prior season trend context available.
h_814822,hitters,4 plate events / 3 BBE,30,0.95,Impact score 46.9,P90 EV wood-adj 99.7,Whiff rate 40%,Chase rate 33.3%,One-season-only warning: no prior season trend context available.
h_806680,hitters,2 plate events / 1 BBE,33.33333333333334,0.95,Impact score 64.2,P90 EV wood-adj 103,Whiff rate 25%,Chase rate 66.7%,One-season-only warning: no prior season trend context available.
h_809764,hitters,4 plate events / 1 BBE,14.285714285714292,0.95,Impact score 48.2,P90 EV wood-adj 94.8,Whiff rate 33.3%,Chase rate 20%,One-season-only warning: no prior season trend context available.
h_806227,hitters,2 plate events / 1 BBE,30,0.95,Impact score 19.9,P90 EV wood-adj 85.5,Whiff rate 0%,Chase rate 0%,One-season-only warning: no prior season trend context available.
h_824647,hitters,4 plate events / 2 BBE,11.111111111111114,0.95,Impact score 26.6,P90 EV wood-adj 93.8,Whiff rate 25%,Chase rate 8.3%,One-season-only warning: no prior season trend context available.
h_824574,hitters,5 plate events / 2 BBE,11.111111111111114,0.95,Impact score 46.6,P90 EV wood-adj 96.2,Whiff rate 57.1%,Chase rate 20%,One-season-only warning: no prior season trend context available.
h_1000133418,hitters,3 plate events / 3 BBE,60,0.95,Impact score 13,P90 EV wood-adj 87.8,Whiff rate 0%,Chase rate NA%,One-season-only warning: no prior season trend context available.
h_1000115649,hitters,1 plate events / 1 BBE,100,0.95,Impact score 30.2,P90 EV wood-adj 88.3,Whiff rate 0%,Chase rate NA%,One-season-only warning: no prior season trend context available.
h_815729,hitters,3 plate events / 1 BBE,11.111111111111114,0.95,Impact score 38.7,P90 EV wood-adj 92.5,Whiff rate 25%,Chase rate 11.1%,One-season-only warning: no prior season trend context available.
h_835227,hitters,5 plate events / 5 BBE,33.33333333333334,0.95,Impact score 35,P90 EV wood-adj 100,Whiff rate 37.5%,Chase rate 55.6%,One-season-only warning: no prior season trend context available.
h_10077581,hitters,3 plate events / 1 BBE,66.66666666666667,0.95,Impact score 34.1,P90 EV wood-adj 90.4,Whiff rate 0%,Chase rate 50%,One-season-only warning: no prior season trend context available.
h_807518,hitters,1 plate events / 0 BBE,100,0.95,Impact score 29.4,P90 EV wood-adj NA,Whiff rate 0%,Chase rate NA%,One-season-only warning: no prior season trend context available.
h_1000115663,hitters,5 plate events / 1 BBE,12,0.95,Impact score 50.1,P90 EV wood-adj 95.8,Whiff rate 40%,Chase rate 35.7%,One-season-only warning: no prior season trend context available.
h_800606,hitters,4 plate events / 2 BBE,20,0.95,Impact score 50.8,P90 EV wood-adj 99.5,Whiff rate 50%,Chase rate 30.8%,One-season-only warning: no prior season trend context available.
h_702701,hitters,1 plate events / 0 BBE,33.33333333333334,0.95,Impact score 29.4,P90 EV wood-adj NA,Whiff rate 0%,Chase rate NA%,One-season-only warning: no prior season trend context available.
h_1000339305,hitters,3 plate events / 2 BBE,38.888888888888886,0.95,Impact score 47.1,P90 EV wood-adj 99.4,Whiff rate 30%,Chase rate 54.5%,One-season-only warning: no prior season trend context available.
h_10069127,hitters,3 plate events / 2 BBE,20,0.95,Impact score 21.6,P90 EV wood-adj 87.4,Whiff rate 25%,Chase rate 0%,One-season-only warning: no prior season trend context available.
h_813811,hitters,5 plate events / 4 BBE,44.44444444444444,0.95,Impact score 11,P90 EV wood-adj 86.1,Whiff rate 16.7%,Chase rate 58.3%,One-season-only warning: no prior season trend context available.
h_1000301840,hitters,3 plate events / 1 BBE,8.333333333333343,0.95,Impact score 12.3,P90 EV wood-adj 82,Whiff rate 0%,Chase rate 0%,One-season-only warning: no prior season trend context available.
h_824575,hitters,2 plate events / 1 BBE,16.666666666666657,0.95,Impact score 13.2,P90 EV wood-adj 82.5,Whiff rate 0%,Chase rate 0%,One-season-only warning: no prior season trend context available.
h_812668,hitters,2 plate events / 2 BBE,40,0.95,Impact score 46,P90 EV wood-adj 97.1,Whiff rate 25%,Chase rate 66.7%,One-season-only warning: no prior season trend context available.
h_1000114445,hitters,3 plate events / 2 BBE,40,0.95,Impact score 24.2,P90 EV wood-adj 90.6,Whiff rate 0%,Chase rate 50%,One-season-only warning: no prior season trend context available.
h_1000072078,hitters,4 plate events / 3 BBE,26.66666666666667,0.95,Impact score 34.6,P90 EV wood-adj 95.7,Whiff rate 33.3%,Chase rate 40%,One-season-only warning: no prior season trend context available.
h_804562,hitters,4 plate events / 2 BBE,40,0.95,Impact score 4.8,P90 EV wood-adj 75.6,Whiff rate 0%,Chase rate 25%,One-season-only warning: no prior season trend context available.
h_1000242407,hitters,4 plate events / 2 BBE,21.42857142857143,0.95,Impact score 27.9,P90 EV wood-adj 87.6,Whiff rate 40%,Chase rate 12.5%,One-season-only warning: no prior season trend context available.
h_812510,hitters,3 plate events / 3 BBE,60,0.95,Impact score 30.4,P90 EV wood-adj 95.9,Whiff rate 25%,Chase rate 50%,Data completeness warning: review missing critical fields before trusting the board score.
h_813559,hitters,4 plate events / 2 BBE,21.05263157894737,0.95,Impact score 1.5,P90 EV wood-adj 59.7,Whiff rate 0%,Chase rate 18.2%,One-season-only warning: no prior season trend context available.
h_828345,hitters,3 plate events / 2 BBE,60,0.95,Impact score 23.5,P90 EV wood-adj 93.6,Whiff rate 0%,Chase rate 100%,One-season-only warning: no prior season trend context available.
h_1000462705,hitters,3 plate events / 2 BBE,33.33333333333334,0.95,Impact score 25.9,P90 EV wood-adj 94.3,Whiff rate 25%,Chase rate 25%,One-season-only warning: no prior season trend context available.
h_10009966,hitters,5 plate events / 2 BBE,35.71428571428571,0.95,Impact score 14.5,P90 EV wood-adj 85.3,Whiff rate 28.6%,Chase rate 25%,One-season-only warning: no prior season trend context available.
h_1000118912,hitters,3 plate events / 2 BBE,20,0.95,Impact score 27.7,P90 EV wood-adj 87.9,Whiff rate 33.3%,Chase rate 14.3%,One-season-only warning: no prior season trend context available.
h_804433,hitters,1 plate events / 0 BBE,20,0.95,Impact score 29.4,P90 EV wood-adj NA,Whiff rate 0%,Chase rate 33.3%,One-season-only warning: no prior season trend context available.
h_10139818,hitters,3 plate events / 2 BBE,22.222222222222214,0.95,Impact score 14,P90 EV wood-adj 86.9,Whiff rate 0%,Chase rate 33.3%,One-season-only warning: no prior season trend context available.
h_806678,hitters,4 plate events / 3 BBE,28.57142857142857,0.95,Impact score 30.2,P90 EV wood-adj 95.3,Whiff rate 33.3%,Chase rate 45.5%,One-season-only warning: no prior season trend context available.
h_839111,hitters,1 plate events / 0 BBE,0,0.95,Impact score 29.4,P90 EV wood-adj NA,Whiff rate NA%,Chase rate 0%,One-season-only warning: no prior season trend context available.
h_822679,hitters,2 plate events / 2 BBE,33.33333333333334,0.95,Impact score 37.6,P90 EV wood-adj 98.6,Whiff rate 33.3%,Chase rate 33.3%,One-season-only warning: no prior season trend context available.
h_1000162895,hitters,2 plate events / 1 BBE,33.33333333333334,0.95,Impact score 30.7,P90 EV wood-adj 88.4,Whiff rate 25%,Chase rate 25%,One-season-only warning: no prior season trend context available.
h_695718,hitters,1 plate events / 1 BBE,66.66666666666667,0.95,Impact score 26.8,P90 EV wood-adj 87.3,Whiff rate 0%,Chase rate 50%,One-season-only warning: no prior season trend context available.
h_1000343411,hitters,4 plate events / 2 BBE,11.111111111111114,0.95,Impact score 37.6,P90 EV wood-adj 92.9,Whiff rate 57.1%,Chase rate 22.2%,One-season-only warning: no prior season trend context available.
h_703550,hitters,4 plate events / 2 BBE,33.33333333333334,0.95,Impact score 31.7,P90 EV wood-adj 96,Whiff rate 40%,Chase rate 33.3%,One-season-only warning: no prior season trend context available.
h_804451,hitters,3 plate events / 2 BBE,25,0.95,Impact score 5.8,P90 EV wood-adj 84,Whiff rate 0%,Chase rate 25%,One-season-only warning: no prior season trend context available.
h_1000120627,hitters,3 plate events / 2 BBE,37.5,0.95,Impact score 3.2,P90 EV wood-adj 70.4,Whiff rate 0%,Chase rate 25%,One-season-only warning: no prior season trend context available.
h_1000220194,hitters,3 plate events / 1 BBE,11.764705882352942,0.95,Impact score 17.1,P90 EV wood-adj 84.6,Whiff rate 25%,Chase rate 0%,One-season-only warning: no prior season trend context available.
h_10100750,hitters,4 plate events / 2 BBE,16.666666666666657,0.95,Impact score 7.4,P90 EV wood-adj 83.8,Whiff rate 25%,Chase rate 12.5%,One-season-only warning: no prior season trend context available.
h_832363,hitters,5 plate events / 2 BBE,15.789473684210535,0.95,Impact score 22.2,P90 EV wood-adj 87.9,Whiff rate 57.1%,Chase rate 18.2%,Data completeness warning: review missing critical fields before trusting the board score.
h_1000068590,hitters,4 plate events / 1 BBE,10.526315789473685,0.95,Impact score 54.2,P90 EV wood-adj 97.6,Whiff rate 66.7%,Chase rate 41.7%,Data completeness warning: review missing critical fields before trusting the board score.
h_806021,hitters,3 plate events / 3 BBE,40,0.95,Impact score 9.9,P90 EV wood-adj 84.3,Whiff rate 20%,Chase rate 40%,One-season-only warning: no prior season trend context available.
h_703552,hitters,5 plate events / 2 BBE,26.31578947368422,0.95,Impact score 31.7,P90 EV wood-adj 95.5,Whiff rate 50%,Chase rate 40%,Data completeness warning: review missing critical fields before trusting the board score.
h_801499,hitters,3 plate events / 3 BBE,40,0.95,Impact score 22.2,P90 EV wood-adj 88.2,Whiff rate 25%,Chase rate 50%,One-season-only warning: no prior season trend context available.
h_831089,hitters,4 plate events / 1 BBE,26.66666666666667,0.95,Impact score 47.3,P90 EV wood-adj 94.4,Whiff rate 50%,Chase rate 44.4%,One-season-only warning: no prior season trend context available.
h_1000224300,hitters,4 plate events / 1 BBE,18.51851851851852,0.95,Impact score 8.8,P90 EV wood-adj 77,Whiff rate 9.1%,Chase rate 27.8%,One-season-only warning: no prior season trend context available.
h_811441,hitters,2 plate events / 1 BBE,25,0.95,Impact score 33,P90 EV wood-adj 90.1,Whiff rate 50%,Chase rate 0%,One-season-only warning: no prior season trend context available.
h_10026274,hitters,4 plate events / 2 BBE,25,0.95,Impact score 7.1,P90 EV wood-adj 81.6,Whiff rate 14.3%,Chase rate 37.5%,One-season-only warning: no prior season trend context available.
h_806027,hitters,5 plate events / 3 BBE,25,0.95,Impact score 34.6,P90 EV wood-adj 99,Whiff rate 62.5%,Chase rate 62.5%,One-season-only warning: no prior season trend context available.
h_10100779,hitters,2 plate events / 1 BBE,9.090909090909093,0.95,Impact score 39.9,P90 EV wood-adj 93.1,Whiff rate 66.7%,Chase rate 0%,One-season-only warning: no prior season trend context available.
h_815345,hitters,3 plate events / 1 BBE,16.666666666666657,0.95,Impact score 18.8,P90 EV wood-adj 85,Whiff rate 33.3%,Chase rate 0%,One-season-only warning: no prior season trend context available.
h_813915,hitters,1 plate events / 1 BBE,100,0.95,Impact score 6.3,P90 EV wood-adj 75.6,Whiff rate 0%,Chase rate NA%,One-season-only warning: no prior season trend context available.
h_815337,hitters,4 plate events / 0 BBE,8.695652173913047,0.95,Impact score 29.4,P90 EV wood-adj NA,Whiff rate 50%,Chase rate 5.9%,One-season-only warning: no prior season trend context available.
h_1000091127,hitters,2 plate events / 2 BBE,33.33333333333334,0.95,Impact score 3.5,P90 EV wood-adj 74.1,Whiff rate 0%,Chase rate 33.3%,One-season-only warning: no prior season trend context available.
h_1000462698,hitters,1 plate events / 0 BBE,0,0.95,Impact score 29.4,P90 EV wood-adj NA,Whiff rate 0%,Chase rate 100%,One-season-only warning: no prior season trend context available.
h_1000242087,hitters,2 plate events / 1 BBE,16.666666666666657,0.95,Impact score 61.8,P90 EV wood-adj 101,Whiff rate 66.7%,Chase rate 66.7%,One-season-only warning: no prior season trend context available.
h_812494,hitters,1 plate events / 1 BBE,100,0.95,Impact score 2.2,P90 EV wood-adj 62.6,Whiff rate 0%,Chase rate NA%,One-season-only warning: no prior season trend context available.
h_10277040,hitters,5 plate events / 1 BBE,15.384615384615387,0.95,Impact score 35.2,P90 EV wood-adj 90.7,Whiff rate 50%,Chase rate 42.9%,One-season-only warning: no prior season trend context available.
h_703486,hitters,4 plate events / 2 BBE,14.285714285714292,0.95,Impact score 7.3,P90 EV wood-adj 80.8,Whiff rate 42.9%,Chase rate 0%,One-season-only warning: no prior season trend context available.
h_10106448,hitters,4 plate events / 1 BBE,40,0.95,Impact score 29.8,P90 EV wood-adj 88.2,Whiff rate 33.3%,Chase rate 66.7%,One-season-only warning: no prior season trend context available.
h_824575,hitters,2 plate events / 0 BBE,0,0.95,Impact score 29.4,P90 EV wood-adj NA,Whiff rate 50%,Chase rate 0%,One-season-only warning: no prior season trend context available.
