team_code,school_name,conference
GEO_PAT,Georgetown,
GIT_YEL,Georgia Tech,ACC
GON_BUL,Gonzaga,
GRA_CAN,Grand Canyon,
GRA_TIG,Grand Canyon,
HAR_CRI,Harvard,
HAW_WAR,Hawaii,
HBU_HUS,Hbu Hus,
HER_NEW,Her New,
HIG_PAN,Hig Pan,
HOF_PRI,Hofstra,
HOL_CRU,Holy Cross,
HOU_COU,Houston,
ILL_ILL,Illinois,
ILL_RED,Illinois,
IND_SYC,Indiana,
ION_GAE,Iona,
IOW_HAW,Iowa,
IU,Iu,
IWC,Iwc,
JAC_GAM,Jacksonville,
JAC_TIG,Jacksonville,
JMU_DUK,James Madison,Sun Belt
JOH_MEL,Joh Mel,
JUD,Jud,
KAN_JAY,Kansas,
KAN_JHK,Kansas,
KAN_WIL,Kansas,
KEN_OWL,Kentucky,
KEN_STA1,Kentucky,
KEN_WIL,Kentucky,
KS_GF,Ks Gf,
LAF_LEP,Laf Lep,
LAM_CAR,Lamar,
LAS_EXS,La Salle,
LEH_MOU,Lehigh,
LIB_FLA,Liberty,
LIN_UNI,Lin Uni,
LIP_BIS,Lipscomb,
LIT_TRO,Lit Tro,
LON_DIR,Long Island,
LON_ISL22,Long Island,
LON_LAN,Long Island,
LOR_DUH,Lor Duh,
LOU_BUL,Louisville,
LOU_CAJ,Louisville,
LOU_CAR,Louisville,
LOU_CHR,Louisville,
LOY_LIO,Loyola Marymount,
LSU_TIG,LSU,
MAI_BLA,Maine,
MAN_JAS,Manhattan,
MAR_HAW,Marshall,
MAR_RED,Marshall,
MAR_TER,Marshall,
MAR_THU,Marshall,Sun Belt
MCN_COW,McNeese,
MER_BEA,Mercer,
MER_COL1,Mercer,
MER_UNI,Mercer,
MEX_LOB,Mex Lob,
MIA_HUR,Miami,ACC
MIA_RED,Miami,
MIC_SPA,Michigan,
MIC_WOL,Michigan,
MIN_GOL,Minnesota,
MIN_GOP,Minnesota,
MIS_BEA,Missouri,
MIS_DEL,Missouri,
MIS_ST.,Missouri,
MIZ_TIG,Miz Tig,
MON_HAW,Monmouth,
MOR_EAG,Morehead State,
MOY_MOY,Moy Moy,
MSM_MTN,Msm Mtn,
MSU_BDG,Mississippi State,SEC
MT,Mt,
MTSU_BLU,Mtsu Blu,
MUH_COL,Muh Col,
MUR_RAC,Murray State,
NAV_MID,Navy,
NCA_BUL,Nca Bul,
NCB,Ncb,
NEB,Nebraska,
NEV_WOL,Nevada,
NEW_HAV,New Mexico,
NEW_PRI,New Mexico,
NIA_EAG,Niagara,
NIC_COL,Nicholls,
NIU_HUS,Niu Hus,
NJI_HIG,Nji Hig,
NMS_AGG,Nms Agg,
NOF_OSP,Nof Osp,
NOK_NOR,Nok Nor,
NOR_AGG,Norfolk State,
NOR_BIS,Norfolk State,
NOR_CAT,Norfolk State,
NOR_DEM,Norfolk State,
NOR_HUS,Norfolk State,
NOR_PAR,Norfolk State,
NOR_SPA,Norfolk State,
NOR_TAR,Norfolk State,
NOR_WOL,Norfolk State,
NOT_IRI,Not Iri,
OAK_CIT,Oakland,
OAK_GOL,Oakland,
OHI_BOB,Ohio,
OKL_COW,Oklahoma,
OKL_SOO,Oklahoma,
OLD_MON,Old Dominion,
OLE_REB,Ole Miss,
ORA_GOL,Oral Roberts,
ORE_BEA,Oregon,
ORE_DUC,Oregon,
OSU_BUC,Osu Buc,
PAC_TIG,Pacific,
PEN_NIT,Penn,
PEN_QUA,Penn,
PEP_WAV,Pepperdine,
PIT_PAN,Pittsburgh,
POR_PIL,Portland,
PRA_PAN,Prairie View A&M,
PRE_BLH,Presbyterian,
PRI_TIG,Princeton,
PUR_BOI,Purdue,
PUR_FOR,Purdue,
QUI_BOB,Qui Bob,
QUN_RYL,Qun Ryl,
RAD_HIG,Radford,Big South
RAD_PRA,Radford,
RHO_RAM,Rhode Island,
RIC_OWL,Richmond,
RIC_SPI,Richmond,
RID_BRO,Rider,
ROC_CHR,Roc Chr,
RUT_SCA,Rutgers,Big Ten
SAC_HOR,Sacramento State,
SAC_PIO,Sacramento State,
SAL_JAG,Sal Jag,
SAM_BEA,Samford,
SAM_BUL,Samford,
SAN_AZT,San Diego,
SAN_BRO,San Diego,
SAN_DON,San Diego,
SAN_GAU,San Diego,
SAN_SPA,San Diego,
SAN_TOR,San Diego,
SBU_SEA,Sbu Sea,
SEA_RED,Seattle U,
SEA_UNI,Seattle U,
SET_PIR,Seton Hall,
SEW_TIG,Sew Tig,
SIE_SAI,Siena,
SIM_UNI,Sim Uni,
SIU_SAL,SIU Edwardsville,
SLU_BILL,Slu Bill,
SMU_SAI,Smu Sai,
SOU_COU,Southern,
SOU_GAM,Southern,
SOU_GOL,Southern,
SOU_IND16,Southern,
SOU_JAC,Southern,
SOU_JAG,Southern,
SOU_LIO,Southern,
SOU_RED,Southern,
SOU_TRO,Southern,
SPU_PEA,Saint Peter's,
STA_CAR,Stanford,ACC
STB_BON,Stony Brook,
STE_HAT,Stetson,
STE_LUM,Stetson,
STJ_HAW,Stj Haw,
STJ_RED,Stj Red,
STM_GAE,Stm Gae,
STO_COL,Stonehill,
TAR_TEX,Tarleton State,
TCU_HFG,TCU,
TEN_TEC,Tennessee,
TEN_VOL,Tennessee,SEC
TEX_AGG,Texas A&M,SEC
TEX_BOB,Texas,
TEX_ISL,Texas,
TEX_LON,Texas,
TEX_RAI,Texas,
TEX_TIG,Texas,
THO_M,Tho M,
TNU,Tnu,
TOL_ROC,Toledo,
TOW_TIG,Towson,
TRO_TRJ,Troy,
TUL_GRE,Tulane,
TeamX,Teamx,
TestK,Testk,
UAB_BLA,UAB,
UCF_KNI,UCF,
UCLA,Ucla,
UCO_HUS,Uco Hus,
UIC_FLA,Uic Fla,
ULM_WAR,Ulm War,
UMASS_RIV,Umass Riv,
UMA_AMH,UMass Lowell,
UMBC_RET,Umbc Ret,
UNC_SEA,UNC Asheville,
UNC_SPA,UNC Asheville,
UNI_BRI,Uni Bri,
UNI_THE2,Uni The2,
UNI_WES,Uni Wes,
UNI_WIS,Uni Wis,
UNL_REB,UNLV,
UNO_MAV,New Orleans,
USC_UPS,Usc Ups,
USF_BUL,South Florida,
UTA_UTE,Utah,
UTA_WOL,Utah,
UTM_SKY,Utm Sky,
UTR_VAQ,Utr Vaq,
UTS_ROA,UTSA,
UWM_PAN,Uwm Pan,
VAL_CRU,Valparaiso,
VAN_COM,Vanderbilt,
VCU_RAM,VCU,Atlantic 10
VIL_WIL,Villanova,
VIR_CAV,Virginia,ACC
VIR_KEY,Virginia,
VIR_TEC,Virginia Tech,ACC
WAG_SEA,Wagner,
WAK_DEA,Wake Forest,
WAR_COL,War Col,
WAS_COU,Washington,
WAS_EDA,Washington,
WAS_HUS,Washington,
WAS_UNI,Washington,
WCC,Wcc,
WES_CHE5,West Virginia,
WES_GEO4,West Virginia,
WES_HIL,West Virginia,
WES_MOU,West Virginia,
WES_UNI,West Virginia,
WES_VIR4,West Virginia,
WIC_SHO,Wichita State,
WIN_EAG,Winthrop,
WIU_LEA,Wiu Lea,
WMI_BRO,Wmi Bro,
WM_TRI,William & Mary,CAA
WOF_TER,Wofford,
WOU_WOL,Wou Wol,
WRI_RAI,Wright State,
XAV_LOU,Xavier,
XAV_MUS,Xavier,
YAL_BUL,Yale,
YSU_PEN,Ysu Pen,
